"","codocorren","data","hora","mes","diaSemana","tipo","viaA","viaB","tipoenvolv","tipoAutomo","genero","idade","embriagado","vitima","obito","habilitado","ciclo","pavimentac","viaACod","viaATotal","viaAFxRola","viaBCod","viaBtotal","viaBFxRola","bairro","zona","longX","latY","intersecao","intersecaoCodA","intersecaoCodB","intersecaolongx","intersecaolaty","intersecaoCiclo"
"797","2019-408",2019-02-20,"06:10","Fevereiro","quarta-feira","colisão","Rod.Jorge Lacerda","","veículo","Caminhão","masc.","23",0,0,0,1,"","Asfalto",1343,"43","43",NA,"","","Salseiros","Área Urbana",-48.74083552,-26.88596702,"",NA,NA,NA,NA,""
"7971","2019-408",2019-02-20,"06:10","Fevereiro","quarta-feira","colisão","Rod.Jorge Lacerda","","veículo","Caminhão","fem.","25",0,0,0,1,"","Asfalto",1343,"43","43",NA,"","","Salseiros","Área Urbana",-48.74083552,-26.88596702,"",NA,NA,NA,NA,""
"798","2019-469",2019-02-26,"14:30","Fevereiro","terça-feira","abalroamento,colisão","Rod.Jorge Lacerda","","veículo","Caminhão_Trator","masc.","58",0,0,0,1,"","Asfalto",1343,"43","43",NA,"","","Salseiros","Área Urbana",-48.72388438,-26.88967614,"",NA,NA,NA,NA,""
"7981","2019-469",2019-02-26,"14:30","Fevereiro","terça-feira","abalroamento,colisão","Rod.Jorge Lacerda","","veículo","Semireboque","masc.","58",0,0,0,1,"","Asfalto",1343,"43","43",NA,"","","Salseiros","Área Urbana",-48.72388438,-26.88967614,"",NA,NA,NA,NA,""
"7982","2019-469",2019-02-26,"14:30","Fevereiro","terça-feira","abalroamento,colisão","Rod.Jorge Lacerda","","veículo","Caminhão","masc.","40",0,0,0,1,"","Asfalto",1343,"43","43",NA,"","","Salseiros","Área Urbana",-48.72388438,-26.88967614,"",NA,NA,NA,NA,""
"799","2019-488",2019-02-27,"16:05","Fevereiro","quarta-feira","engavetamento","R.Rosa Orsi Dalcóquio","","veículo","Automóvel","masc.","31",0,0,0,1,"","Asfalto",1182,"15","7",NA,"","","Cordeiros","Área Urbana",-48.71362869,-26.894296,"",NA,NA,NA,NA,""
"7991","2019-488",2019-02-27,"16:05","Fevereiro","quarta-feira","engavetamento","R.Rosa Orsi Dalcóquio","","veículo","Automóvel","masc.","22",0,0,0,1,"","Asfalto",1182,"15","7",NA,"","","Cordeiros","Área Urbana",-48.71362869,-26.894296,"",NA,NA,NA,NA,""
"7992","2019-488",2019-02-27,"16:05","Fevereiro","quarta-feira","engavetamento","R.Rosa Orsi Dalcóquio","","veículo","Automóvel","masc.","24",0,0,0,1,"","Asfalto",1182,"15","7",NA,"","","Cordeiros","Área Urbana",-48.71362869,-26.894296,"",NA,NA,NA,NA,""
"7993","2019-488",2019-02-27,"16:05","Fevereiro","quarta-feira","engavetamento","R.Rosa Orsi Dalcóquio","","veículo","Automóvel","","",0,0,0,1,"","Asfalto",1182,"15","7",NA,"","","Cordeiros","Área Urbana",-48.71362869,-26.894296,"",NA,NA,NA,NA,""
"800","2019-480",2019-02-27,"12:00","Fevereiro","quarta-feira","colisão","R.José Gall","","veículo","Automóvel","fem.","42",0,0,0,1,"","Asfalto",545,"15,6","9,6",NA,"","","Dom Bosco","Área Urbana",-48.68601413,-26.92940351,"",NA,NA,NA,NA,""
